Movie_title,Year,Genre,Language,Country,Imdb_rating,Total_reviews,Voted_users,Duration_minutes
The Host,2018,Comedy,Korean,South Korea,7,363,238760,94
Lady Vengeance,2004,Crime,Korean,South Korea,9,202,399371,104
Fateless,1997,Drama,Hungarian,Hungary,7.4,73,307503,115
Princess Mononoke,2010,Adventure,Japanese,Japan,4.6,174,447341,154
Steamboy,2008,Action,Japanese,Japan,9.2,105,314742,130
Akira,2012,Action,Japanese,Japan,7.5,150,146823,94
Godzilla 2000,2000,Action,Japanese,Japan,5.8,107,122913,147
Tango,2000,Drama,Spanish,Spain,4.8,35,263170,100
Kabhi Alvida Naa Kehna,2013,Drama,Hindi,India,8.4,20,331404,92
Kites,2013,Action,English,India,7.4,41,48337,165
Red Cliff,1992,Action,Mandarin,China,6.9,160,261050,98
The Legend of Suriyothai,2011,Action,Thai,Thailand,8.9,31,274180,113
The Messenger: The Story of Joan of Arc,1991,Adventure,English,France,8.3,111,29041,157
Pirates of the Caribbean: At World's End,2013,Action,English,USA,4.8,302,79583,147
Ong-bak 2,2019,Action,Thai,Thailand,5.7,110,444743,131
John Carter,1991,Action,English,USA,5.4,462,35031,106
Tangled,2010,Adventure,English,USA,8.1,324,271356,108
Spider-Man 3,2022,Action,English,USA,4.2,392,366745,107
Harry Potter and the Half-Blood Prince,2001,Adventure,English,UK,7.1,375,328099,114
Pirates of the Caribbean: On Stranger Tides,2011,Action,English,USA,8.2,448,75244,87
The Dark Knight Rises,2014,Action,English,USA,8.8,813,253359,95
The Hobbit: The Battle of the Five Armies,2016,Adventure,English,New Zealand,5.9,422,130249,115
Avengers: Age of Ultron,2017,Action,English,USA,8.5,635,267753,109
Spectre,2005,Action,English,UK,4.6,602,311912,97
Avatar,2004,Action,English,USA,8.7,723,232309,81
The Amazing Spider-Man,1992,Action,English,USA,4.7,599,317259,128
Pirates of the Caribbean: Dead Man's Chest,1996,Action,English,USA,6.2,313,83003,156
The Chronicles of Narnia: Prince Caspian,2010,Action,English,USA,8.4,258,254846,83
Men in Black 3,1998,Action,English,USA,4.8,451,423475,169
Man of Steel,2007,Action,English,USA,5.3,,86208,168
The Hobbit: The Desolation of Smaug,1993,Adventure,English,USA,8,509,191684,173
The Avengers,2014,Action,English,USA,8,703,102971,154
Oz the Great and Powerful,2003,Adventure,English,USA,7.5,525,254725,86
The Lone Ranger,1998,Action,English,USA,7.8,450,158161,174
X-Men: The Last Stand,2015,Action,English,Canada,7,334,161587,153
Transformers: Age of Extinction,1991,Action,English,USA,5.4,378,160581,118
Superman Returns,2009,Action,English,USA,5.9,434,345953,92
Battleship,2017,Action,English,USA,5,377,389090,110
King Kong,1996,Action,English,New Zealand,9,446,193618,150
Titanic,1997,Drama,English,USA,7.2,315,369305,142
Terminator 3: Rise of the Machines,2003,Action,English,USA,6.2,280,157715,135
Spider-Man 2,2006,Action,English,USA,6.5,300,6654,121
The Protector,1993,Action,Thai,Thailand,9.2,112,153376,140
Quantum of Solace,1991,Action,English,UK,4.8,403,435404,121
Fantastic Four,1995,Action,English,USA,7.2,367,64788,135
A Christmas Carol,1993,Animation,English,USA,6.8,240,51695,115
Terminator Salvation,2018,Action,English,USA,7.4,422,283225,163
Transformers: Revenge of the Fallen,2007,Action,English,USA,4.1,,446364,147
Alice in Wonderland,2015,Adventure,English,USA,8.8,451,292731,86
Iron Man 2,2023,Action,English,USA,9.1,453,181502,133
Prince of Persia: The Sands of Time,1999,Action,English,USA,7.1,306,164553,80
Robin Hood,2003,Action,English,USA,7.8,343,69798,123
Toy Story 3,2020,Adventure,English,USA,9.1,453,308811,124
Cars 2,2004,Adventure,English,USA,7.9,304,206876,126
Green Lantern,1997,Action,English,USA,4.8,436,437124,92
Skyfall,2003,Action,English,UK,7.2,750,39999,101
Iron Man 3,2012,Action,English,USA,7.3,608,388460,100
Monsters University,2010,Adventure,English,USA,6.3,376,445985,165
The Amazing Spider-Man 2,2005,Action,English,USA,8.1,495,170131,171
X-Men: Days of Future Past,2007,Action,English,USA,9.1,539,245698,88
Transformers: Dark of the Moon,2013,Action,English,USA,9.1,,468035,105
Jack the Giant Slayer,2015,Adventure,English,USA,6.5,338,243497,88
Pacific Rim,2014,Action,English,USA,4.6,575,489033,94
Star Trek Into Darkness,2018,Action,English,USA,9.4,590,96847,89
World War Z,2004,Action,English,USA,8.6,654,311431,167
Furious 7,1990,Action,English,USA,4.7,424,298132,121
Tomorrowland,2014,Action,English,USA,9.1,443,337085,151
Indiana Jones and the Kingdom of the Crystal Skull,1996,Action,English,USA,8.8,470,206235,103
The Dark Knight,1998,Action,English,USA,6.9,645,22931,159
Brave,2013,Adventure,English,USA,7.3,488,324325,128
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1990,Adventure,English,USA,6.2,284,195055,105
The Golden Compass,1997,Adventure,English,USA,4.3,251,123220,170
WALL·E,2013,Adventure,English,USA,5.8,421,49653,116
The Hobbit: An Unexpected Journey,2000,Adventure,English,USA,8.4,645,269012,147
Maleficent,2006,Action,English,USA,4,401,421140,129
Edge of Tomorrow,1997,Action,English,USA,5.8,585,375004,103
Jupiter Ascending,2022,Action,English,USA,6.2,384,176576,98
Waterworld,1994,Action,English,USA,7,91,477585,179
Troy,2017,Adventure,English,USA,9.1,220,220224,139
Evan Almighty,1996,Comedy,English,USA,5.9,186,375399,118
G.I. Joe: The Rise of Cobra,1998,Action,English,USA,5.9,250,57485,153
Monsters vs. Aliens,1997,Action,English,USA,8.1,219,312713,168
Up,2001,Adventure,English,USA,6.5,408,314970,97
47 Ronin,2023,Action,English,USA,5.2,218,109237,98
Inside Out,2022,Adventure,English,USA,6.5,536,212633,115
Wild Wild West,2012,Action,English,USA,4.8,85,154970,153
TRON: Legacy,2013,Action,English,USA,5,469,229965,176
Hugo,2011,Adventure,English,USA,6.7,682,51361,134
Snow White and the Huntsman,2016,Action,English,USA,6.3,416,338541,148
Thor: The Dark World,1990,Action,English,USA,9,486,213477,126
Captain America: The Winter Soldier,2003,Action,English,USA,6,576,127618,128
Dawn of the Planet of the Apes,1992,Action,English,USA,7.2,521,331221,178
Guardians of the Galaxy,1990,Action,English,USA,7.5,653,197213,177
The Polar Express,1994,Adventure,English,USA,4.1,188,9578,112
How to Train Your Dragon,2015,Adventure,English,USA,7.6,288,418719,100
Shrek Forever After,2003,Adventure,English,USA,5,226,325412,160
Wreck-It Ralph,2016,Adventure,English,USA,9.3,377,51547,101
Big Hero 6,1998,Action,English,USA,4.8,384,334270,127
Interstellar,2004,Adventure,English,USA,6.3,712,320304,116
Speed 2: Cruise Control,2004,Action,English,USA,4.5,79,235958,94
Winged Migration,2015,Documentary,English,France,9.5,100,443502,114
Poseidon,2002,Action,English,USA,6.8,231,395641,171
